,life_expectancy,adult_mortality,alcohol,hepatitis_b,bmi,polio,total_expenditure,diphtheria,gdp_per_capita,population,thinness_1_19_years,income_composition_of_resources,schooling
life_expectancy,1.0,-0.696,0.407,0.308,0.561,0.471,0.227,0.484,0.051,-0.029,-0.471,0.703,0.728
adult_mortality,-0.696,1.0,-0.2,-0.187,-0.383,-0.281,-0.124,-0.281,-0.04,-0.005,0.299,-0.45,-0.448
alcohol,0.407,-0.2,1.0,0.121,0.327,0.226,0.305,0.22,-0.011,-0.026,-0.428,0.458,0.544
hepatitis_b,0.308,-0.187,0.121,1.0,0.182,0.491,0.113,0.582,0.033,-0.113,-0.147,0.228,0.285
bmi,0.561,-0.383,0.327,0.182,1.0,0.284,0.241,0.282,-0.02,-0.07,-0.532,0.494,0.526
polio,0.471,-0.281,0.226,0.491,0.284,1.0,0.15,0.677,0.017,-0.044,-0.219,0.374,0.409
total_expenditure,0.227,-0.124,0.305,0.113,0.241,0.15,1.0,0.164,0.079,-0.064,-0.279,0.201,0.279
diphtheria,0.484,-0.281,0.22,0.582,0.282,0.677,0.164,1.0,0.026,-0.032,-0.227,0.393,0.416
gdp_per_capita,0.051,-0.04,-0.011,0.033,-0.02,0.017,0.079,0.026,1.0,-0.013,0.044,0.03,0.026
population,-0.029,-0.005,-0.026,-0.113,-0.07,-0.044,-0.064,-0.032,-0.013,1.0,0.237,-0.018,-0.038
thinness_1_19_years,-0.471,0.299,-0.428,-0.147,-0.532,-0.219,-0.279,-0.227,0.044,0.237,1.0,-0.416,-0.456
income_composition_of_resources,0.703,-0.45,0.458,0.228,0.494,0.374,0.201,0.393,0.03,-0.018,-0.416,1.0,0.8
schooling,0.728,-0.448,0.544,0.285,0.526,0.409,0.279,0.416,0.026,-0.038,-0.456,0.8,1.0
